location,clinic_name,day,time_blocks,notes,is_closed
Ang Mo Kio,Appletree Medical,Mon,9:00am - 12:00pm | 1:00pm - 3:00pm,,false
Ang Mo Kio,Appletree Medical,Tues,9:00am - 12:00pm | 1:00pm - 3:00pm,,false
Ang Mo Kio,Appletree Medical,Wed,9:00am - 12:00pm | 1:00pm - 3:00pm,,false
Ang Mo Kio,Appletree Medical,Thurs,9:00am - 12:00pm | 1:00pm - 3:00pm,,false
Ang Mo Kio,Appletree Medical,Fri,9:00am - 12:00pm | 1:00pm - 3:00pm,,false
Ang Mo Kio,Appletree Medical,Sat,9:00am - 12:00pm,,false
Ang Mo Kio,Appletree Medical,Sun,,* Please call clinic to schedule for appointment,false
Ang Mo Kio,Appletree Medical,PH,,Closed,true
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Mon,8:00am - 2:00pm | 5:30pm - 9:30pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Tues,8:00am - 2:00pm | 5:30pm - 9:30pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Wed,8:00am - 2:00pm | 5:30pm - 9:30pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Thurs,8:00am - 2:00pm | 5:30pm - 9:30pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Fri,8:00am - 2:00pm | 5:30pm - 9:30pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Sat,8:00am - 2:00pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Sun,9:00am - 2:00pm,,false
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),PH,,Closed,true
Ang Mo Kio,Beacon Clinic and Surgery,Mon,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,Tues,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,Wed,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,Thurs,9:00am - 9:00pm,,false
Ang Mo Kio,Beacon Clinic and Surgery,Fri,9:00am - 9:00pm,,false
