location,clinic_name,doctors,address,contact_primary,contacts,contact_notes,google_maps_url,operating_hours_text,general_notes
Ang Mo Kio,Appletree Medical,Dr Goh Chok Chin Rachel,"416 Ang Mo Kio, Avenue 10, #01-1003, Singapore 560416",64548361,64548361,,https://www.google.com/maps/search/?api=1&query=Appletree+Medical%2C+416+Ang+Mo+Kio%2C+Avenue+10%2C+%2301-1003%2C+Singapore+560416,Mon - Fri: 9:00am - 12:00pm 1:00pm - 3:00pm | Sat: 9:00am - 12:00pm | Sun*: * Please call clinic to schedule for appointment | Closed on PH,
Ang Mo Kio,Atrio Family Clinic (Ang Mo Kio),Dr Lim Kai Yang,"532 Ang Mo Kio, Avenue 10, #01-2461, Singapore 560532",64554282,64554282,,https://www.google.com/maps/search/?api=1&query=Atrio+Family+Clinic+%28Ang+Mo+Kio%29%2C+532+Ang+Mo+Kio%2C+Avenue+10%2C+%2301-2461%2C+Singapore+560532,Mon - Fri: 8:00am - 2:00pm 5:30pm - 9:30pm | Sat: 8:00am - 2:00pm | Sun: 9:00am - 2:00pm | Closed on PH,
Ang Mo Kio,Beacon Clinic and Surgery,Dr Lincoln Yeo Kai Pheng | Dr Ban Vin Fei,"531 Ang Mo Kio, Avenue 10, #01-2445, Singapore 560531",69700802,69700802,,https://www.google.com/maps/search/?api=1&query=Beacon+Clinic+and+Surgery%2C+531+Ang+Mo+Kio%2C+Avenue+10%2C+%2301-2445%2C+Singapore+560531,Mon - Sun: 9:00am - 9:00pm | PH: 9:00am - 9:00pm,
Ang Mo Kio,DA Clinic @ Ang Mo Kio,Dr Sean Lee Jun Kiat | Dr Mark Chui Wai Mun | Dr Reyor Ko Teck Ee | Dr Jasmin Koh,"525 Ang Mo Kio, Avenue 10, #01-2407, Cheng San Centre, Singapore 560525",31650147,31650147,,https://www.google.com/maps/search/?api=1&query=DA+Clinic+%40+Ang+Mo+Kio%2C+525+Ang+Mo+Kio%2C+Avenue+10%2C+%2301-2407%2C+Cheng+San+Centre%2C+Singapore+560525,Mon - Sun: 8:00am - 12:00am | PH: Please call the clinic to confirm,
Ang Mo Kio,Frontier Medical Associates (Ang Mo Kio),Dr Wang Dingding | Dr Leong Hon Loong Kee | Dr Anne Yeo Kwee,"163 Ang Mo Kio, Avenue 4, #01-426, Singapore 560163",64532571,64532571,,https://www.google.com/maps/search/?api=1&query=Frontier+Medical+Associates+%28Ang+Mo+Kio%29%2C+163+Ang+Mo+Kio%2C+Avenue+4%2C+%2301-426%2C+Singapore+560163,Mon - Wed: 8:30am - 4:30pm 6:00pm - 9:00pm | Thurs: 8:30am - 1:00pm 6:00pm - 9:00pm | Fri: 8:30am - 4:30pm | Sat: 8:30am - 1:00pm | Closed on Sun & PH,
Ang Mo Kio,G S Clinic & Surgery,"Dr Yung Yunxian, David Marc","632 Ang Mo Kio, Avenue 4, # 01-960, Singapore 560632",64568967,64568967,,https://www.google.com/maps/search/?api=1&query=G+S+Clinic+%26+Surgery%2C+632+Ang+Mo+Kio%2C+Avenue+4%2C+%23+01-960%2C+Singapore+560632,Mon - Fri: 8:30am - 4:30pm | Sat & Sun: 8:30am - 12:30pm | Closed on PH,
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 1),Dr Chong Bick Yew,"330 Ang Mo Kio, Avenue 1, #01-1803, Singapore 560330",65530100,65530100,,https://www.google.com/maps/search/?api=1&query=Healthway+Medical+%28Ang+Mo+Kio+Ave+1%29%2C+330+Ang+Mo+Kio%2C+Avenue+1%2C+%2301-1803%2C+Singapore+560330,Mon & Tues: 9:00am - 1:00pm 2:00pm - 5:00pm 6:00pm - 9:00pm | Wed & Fri: 9:00am - 1:00pm 2:00pm - 5:00pm | Thurs: 9:00am - 12:30pm 2:00pm - 5:00pm 6:00pm - 9:00pm | Sat & Sun: 9:00am - 1:00pm | PH: 9:00am - 1:00pm,
Ang Mo Kio,Healthway Medical (Ang Mo Kio Ave 8),"Dr Tan Ter Wen, Jessie","721 Ang Mo Kio, Avenue 8, #01-2805, Singapore 560721",64554629,64554629,,https://www.google.com/maps/search/?api=1&query=Healthway+Medical+%28Ang+Mo+Kio+Ave+8%29%2C+721+Ang+Mo+Kio%2C+Avenue+8%2C+%2301-2805%2C+Singapore+560721,Mon: 8:00am - 3:00pm 6:00pm - 9:00pm | Tues - Fri: 8:00am - 3:00pm | Sat: 8:30am - 12:30pm | Closed on Sun & PH,
Ang Mo Kio,Intemedical Teck,Dr Lim Wei Khoon,338 Ang Mo Kio,69049579,69049579,,https://www.google.com/maps/search/?api=1&query=Intemedical+Teck%2C+338+Ang+Mo+Kio,Mon - Sat: 8:00am - 10:00pm,
Ang Mo Kio,Gee,Dr Daren Poh Kiat How | Dr Christie Chang,"Avenue 1, #01-1625, Singapore 560338",80616220,80616220,,https://www.google.com/maps/search/?api=1&query=Gee%2C+Avenue+1%2C+%2301-1625%2C+Singapore+560338,(WhatsApp Sun: 8:00am - 4:00pm Only) | PH: 8:00am - 10:00pm,(WhatsApp Sun: 8:00am - 4:00pm Only)
Ang Mo Kio,Keystone Clinic & Surgery (Ang Mo Kio),Dr Pang Yu Xian | Dr Woo Bo Jun,"632 Ang Mo Kio, Avenue 4, #01-966, Singapore 560632",69046976,69046976,,https://www.google.com/maps/search/?api=1&query=Keystone+Clinic+%26+Surgery+%28Ang+Mo+Kio%29%2C+632+Ang+Mo+Kio%2C+Avenue+4%2C+%2301-966%2C+Singapore+560632,Mon - Sun: 8:00am - 8:00pm | PH: 8:00am - 8:00pm,
